bath.txt, 139.0, 137, 0, 1801.19
belfast.txt, 144.0, 142, 0, 1801.59
brighton.txt, 76.0, 76, 1, 444.18
bristol.txt, 143.0, 140, 0, 1801.68
cardiff.txt, 155.0, 153, 0, 1800.99
coventry.txt, 146.0, 144, 0, 1800.76
exeter.txt, 155.0, 152, 0, 1801.08
glasgow.txt, 172.0, 169, 0, 1801.06
leeds.txt, 149.0, 149, 1, 1495.96
leicester.txt, 146.0, 144, 0, 1801.81
liverpool.txt, 110.0, 110, 1, 1574.08
manchester.txt, 149.0, 146, 0, 1802.19
newcastle.txt, 150.0, 149, 0, 1801.07
nottingham.txt, 160.0, 159, 0, 1802.05
oxford.txt, 89.0, 89, 1, 90.44
plymouth.txt, 115.0, 115, 1, 1600.55
sheffield.txt, 158.0, 155, 0, 1801.46
southampton.txt, 96.0, 96, 1, 304.91
sunderland.txt, 139.0, 137, 0, 1801.93
york.txt, 129.0, 129, 1, 74.11
zbelgrade.txt, 292.0, 287, 0, 1907.65
zberlin.txt, 325.0, 308, 0, 1957.89
zboston.txt, 261.0, 246, 0, 2338.60
zdublin.txt, 294.0, 277, 0, 2208.78
zminsk.txt, 355.0, 345, 0, 1820.13
